id,partida_id,jogador_id,clube_id,tipo_evento,tipo_gol,minuto
132,20,17,2,Gol,Normal,82
133,20,19,2,Substituição,,
134,20,21,2,Gol,Normal,55
135,20,22,2,Gol,Normal,83
136,20,131,11,Substituição,,
137,20,132,11,Gol,Normal,37
138,20,283,2,Entrou,,
139,20,24,2,Entrou,,
140,20,284,11,Entrou,,
141,21,245,20,Gol,Normal,37
142,21,245,20,Substituição,,
143,21,249,20,Gol,Normal,67
144,21,157,13,Substituição,,
145,21,266,20,Entrou,,
146,21,285,13,Entrou,,
147,22,3,1,Substituição,,
148,22,4,1,Cartão Vermelho,,
149,22,6,1,Gol,Normal,45
150,22,6,1,Substituição,,
151,22,7,1,Gol,Normal,17
152,22,10,1,Gol,Normal,31
153,22,101,9,Substituição,,
154,22,100,9,Cartão Vermelho,,
155,22,106,9,Substituição,,
156,22,288,1,Entrou,,
157,22,257,1,Entrou,,
158,22,252,9,Entrou,,
159,22,289,9,Entrou,,
160,23,209,17,Substituição,,
161,23,263,17,Substituição,,
162,23,290,7,Substituição,,
163,23,291,17,Entrou,,
164,23,292,17,Entrou,,
165,23,293,7,Entrou,,
166,24,167,14,Substituição,,
167,24,166,14,Substituição,,
168,24,223,18,Gol,Normal,22
169,24,224,18,Substituição,,
170,24,297,14,Entrou,,
171,24,173,14,Entrou,,
172,25,184,15,Substituição,,
173,25,183,15,Entrou,,
174,26,300,19,Gol,Normal,11
175,26,301,19,Gol,Normal,64
176,26,191,16,Substituição,,
177,26,302,16,Substituição,,
178,26,195,16,Gol,Normal,77
179,26,198,16,Entrou,,
180,26,199,16,Entrou,,
181,27,37,4,Substituição,,
182,27,40,4,Substituição,,
183,27,141,12,Substituição,,
184,27,144,12,Substituição,,
185,27,304,4,Entrou,,
186,27,47,4,Entrou,,
187,27,149,12,Entrou,,
188,27,305,12,Entrou,,
189,28,19,2,Substituição,,
190,28,24,2,Entrou,,
191,29,166,14,Gol,Normal,33
192,29,170,14,Gol,Normal,35
193,29,171,14,Substituição,,
194,29,300,19,Gol,Normal,83
195,29,234,19,Substituição,,
196,29,301,19,Substituição,,
197,29,308,14,Entrou,,
198,29,232,19,Entrou,,
199,29,309,19,Entrou,,
200,30,2,1,Cartão Vermelho,,
201,30,6,1,Cartão Vermelho,,
202,30,10,1,Substituição,,
203,30,282,11,Gol,Normal,54
204,30,282,11,Cartão Vermelho,,
205,30,134,11,Substituição,,
206,30,257,1,Entrou,,
207,30,129,11,Entrou,,
208,31,208,17,Gol,Normal,80
209,31,210,17,Substituição,,
210,31,171,14,Substituição,,
211,31,263,17,Entrou,,
212,31,173,14,Entrou,,
213,32,231,19,Substituição,,
214,32,235,19,Substituição,,
215,32,300,19,Gol,Normal,73
216,32,80,7,Substituição,,
217,32,82,7,Substituição,,
218,32,314,19,Entrou,,
219,32,234,19,Entrou,,
220,32,293,7,Entrou,,
221,32,315,7,Entrou,,
222,33,116,10,Substituição,,
223,33,316,10,Substituição,,
224,33,26,3,Substituição,,
225,33,32,3,Gol,Normal,55
226,33,276,3,Substituição,,
227,33,113,10,Entrou,,
228,33,123,10,Entrou,,
229,33,317,3,Entrou,,
230,33,28,3,Entrou,,
231,34,245,20,Substituição,,
232,34,249,20,Substituição,,
233,34,241,20,Entrou,,
234,34,242,20,Entrou,,
235,35,153,13,Substituição,,
236,35,318,13,Gol,Normal,15
237,35,160,13,Gol,Normal,44
238,35,160,13,Substituição,,
239,35,176,15,Gol,Normal,75
240,35,184,15,Substituição,,
241,35,182,15,Substituição,,
242,35,320,13,Entrou,,
243,35,321,13,Entrou,,
244,35,322,15,Entrou,,
245,35,323,15,Entrou,,
246,36,19,2,Substituição,,
247,36,70,6,Substituição,,
248,36,24,2,Entrou,,
249,36,325,6,Entrou,,
250,37,143,12,Gol,Normal,3
251,37,54,5,Gol,Normal,68
252,38,131,11,Substituição,,
253,38,328,11,Substituição,,
254,38,129,11,Entrou,,
255,38,134,11,Entrou,,
256,39,219,18,Substituição,,
257,39,329,18,Substituição,,
258,39,191,16,Substituição,,
259,39,195,16,Substituição,,
260,39,193,16,Gol,Normal,53
261,39,194,16,Gol,Normal,44
262,39,194,16,Gol,Normal,76
263,39,224,18,Entrou,,
264,39,221,18,Entrou,,
265,39,268,16,Entrou,,
266,39,198,16,Entrou,,
267,40,180,15,Gol,Normal,86
268,40,319,15,Substituição,,
269,40,182,15,Substituição,,
270,40,244,20,Gol,Normal,37
271,40,249,20,Substituição,,
272,40,330,20,Substituição,,
273,40,322,15,Entrou,,
274,40,196,15,Entrou,,
275,40,331,20,Entrou,,
276,40,266,20,Entrou,,
277,41,231,19,Substituição,,
278,41,235,19,Substituição,,
279,41,159,13,Gol,Normal,10
280,41,159,13,Substituição,,
281,41,314,19,Entrou,,
282,41,234,19,Entrou,,
283,41,321,13,Entrou,,
284,42,332,7,Substituição,,
285,42,270,7,Gol,Normal,7
286,42,270,7,Substituição,,
287,42,80,7,Gol,Normal,54
288,42,297,14,Substituição,,
289,42,308,14,Gol,Normal,57
290,42,308,14,Gol,Normal,74
291,42,171,14,Substituição,,
292,42,333,7,Entrou,,
293,42,334,7,Entrou,,
294,42,166,14,Entrou,,
295,42,167,14,Entrou,,
296,43,275,3,Substituição,,
297,43,32,3,Gol,Normal,43
298,43,32,3,Gol,Normal,49
299,43,33,3,Substituição,,
300,43,34,3,Gol,Normal,59
301,43,11,1,Substituição,,
302,43,28,3,Entrou,,
303,43,28,3,Gol,Normal,20
304,43,338,3,Entrou,,
305,43,339,1,Entrou,,
306,44,259,12,Substituição,,
307,44,145,12,Gol,Normal,81
308,44,144,12,Gol,Normal,63
309,44,100,9,Substituição,,
310,44,105,9,Substituição,,
311,44,141,12,Entrou,,
312,44,252,9,Entrou,,
313,44,107,9,Entrou,,
314,45,56,5,Substituição,,
315,45,279,5,Substituição,,
316,45,54,5,Gol,Normal,85
317,45,47,4,Substituição,,
318,45,303,4,Gol,Normal,77
319,45,57,5,Entrou,,
320,45,57,5,Gol,Normal,80
321,45,340,5,Entrou,,
322,45,341,4,Entrou,,
323,46,113,10,Gol,Normal,63
324,46,316,10,Substituição,,
325,46,256,10,Substituição,,
326,46,60,6,Substituição,,
327,46,69,6,Gol,Normal,20
328,46,325,6,Substituição,,
329,46,122,10,Entrou,,
330,46,342,10,Entrou,,
331,46,343,6,Entrou,,
332,46,344,6,Entrou,,
333,47,85,8,Substituição,,
334,47,87,8,Gol,Normal,5
335,47,91,8,Gol,Normal,61
336,47,92,8,Gol,Normal,33
337,47,92,8,Substituição,,
338,47,93,8,Gol,Normal,58
339,47,191,16,Gol,Normal,16
340,47,193,16,Substituição,,
341,47,345,8,Entrou,,
342,47,346,8,Entrou,,
343,47,199,16,Entrou,,
344,48,289,9,Substituição,,
