Estádio,Capacidade,Localização
Heraldo Curvelo,8.000,"Poções,Bahia,Brasil"
Abilhão,5.0001,N/A
Schmidtão[6],8.284,"Rio Claro,São Paulo,Brasil"
Flamarion Vasconcelos,45564,N/A
Antônio Osório Pereira,N/A,"Iúna,Espírito Santo"
Mozart Veloso do Carmo,9000,"Rio Verde,Goiás,Brasil"
Mozart Veloso do Carmo,9000,"Rio Verde,GO,Brasil"
N/A,10000,"Apucarana,PR"
Abelardo Conduru,3500,"Icoaraci,Belém,PA"
Vicentão,8000,"São Borja,Rio Grande do Sul,Brasil"
Luís Augusto de Oliveira,1000080001,N/A
Ronaldo Nazário (Antiga Figueira de Melo),1.000,N/A
Sílvio de Faria Corrêa,8500,N/A
Estádio Milton Corrêa,13000,"Macapá,Amapá,Brasil"
Pereirão,3.000,"Serra Talhada,Pernambuco,Brasil"
Estádio João Batista,5.000,"Maceió,Alagoas,Brasil"
Estádio Louis Ensch,2290,N/A
Estádio Agostinho Luzeiro Silva,N/A,"Vigia,Pará,Brasil"
Estádio Frei Epifânio D'Abadia,10100,N/A
Biancão,5000,N/A
N/A,N/A,"Paulista,Pernambuco,Brasil"
Humberto ParenteMaximino Porpino Filho,31005000,"Abaetetuba,PA"
Carneirão,10.9111,"Vitória de Santo Antão,PE"
Valedir José de Oliveira[4],6.000,"Goianésia,Goiás,Brasil"
Arena Cajueiro,7.000,"Feira de Santana,BA"
Olímpico Regional,28125,"Cascavel,PR"
Laranjão,4.700,"Nova Iguaçu,Rio de Janeiro,Brasil"
Arena Romeirão,172301,"Juazeiro do Norte,CE"
Estádio Ferreirão,6520,"Iporá,GO,Brasil"
Canarinho,4.5563,"Boa Vista,RR"
Massami Uriu[4],13.0005,"Sinop,Mato Grosso,Brasil"
Valerião,5000,N/A
Arena da Floresta,137841,"Porto Acre,Acre"
General Sampaio[3],N/A,"Porto Nacional,Brasil[3][4]"
José Gomes da Costa[5],40005,"Murici,Alagoas"
Pedro Alves,10.250,N/A
Aluizão,4.000,"Porto Velho,Rondônia,Brasil"
Estádio José Olímpio da Rocha,5.820,"Águia Branca,Espírito Santo,Brasil"
Estádio João Corrêa da Silveira (Monumental do Cristo Rei)[4],10.000,N/A
Estádio Domingos Machado de Lima[3],50003,"Concórdia,Santa Catarina,Brasil"
Leandrão[5],1400,"Barra do Corda,Maranhão,Brasil"
Estádio Joaquim Alves de Souza,5.000,"Barra de São Francisco(Espírito Santo),Brasil"
Albertão,52.300,"Teresina,Piauí"
Estádio do ABC,6.96925.000,N/A
N/A,N/A,"Rio Branco,Acre,Brasil"
"Antônio Moreno de Mello, O Morenão",N/A,"Iguatu,Ceará,Brasil"
Navegantão,8200,"Tucuruí,PA"
Estádio Municipal Marcos Pinheiro Neto,1.500,N/A
Floro de Mendonça,5.000,"Itacoatiara,Amazonas,Brasil"
Ferreirão,1200,"Plácido de Castro,AC"
Estádio do Trabalhador,7500,"Resende,RJ"
Nazarenão,7.000,"Natal,RN"
Estádio Domingos Silveira Gonzales,1.7061,"Tubarão,Santa Catarina,Brasil"
Portal da Amazônia,7000,"Vilhena,RO"
Vianão,1.735,"Afogados da Ingazeira,PE"
Arena Inamar[2],10000,"Diadema,São Paulo,Brasil"
Noroeste[2],N/A,"Aquidauana,Brasil[2]"
Eugênio Antônio Bitti,5.0581,N/A
José Liberatti,17430,N/A
N/A,N/A,"Saquarema,Rio de Janeiro,Brasil"
Eucaliptos,3.600,"Santa Cruz do Sul,Rio Grande do Sul,Brasil"
Os Pioneiros,1200,"Marmeleiro,Paraná,Brasil[2][3]"
"Aluízio Ferreira, Porto Velho",4000,"Porto Velho,RO,Brasil"
Estádio Arena Barra FCArena Barra FC,N/A,"Balneário Camboriú,Santa Catarina"
Diogão,5000,"Bragança,PA"
Parque do Bacurau,8.000,"Cametá,PA,Brasil"
Raimundão,4.000,"Caucaia,CE"
Vieirão,8.000,"Gravataí,Rio Grande do Sul,Brasil"
Deusdeth Melo,4.000,"Campo Maior,PI"
